id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight,categories,mechanics,families,designers,artists,publishers,expansions,integrations,compilations,implementations
12333,boardgame,Twilight Struggle,2005,2,2,180,180,180,13,20113,8.33774,8.22186,26647,372,1219,5865,5347,2562,3.4785,Modern Warfare|Political|Wargame,Action Point Allowance System|Area Control / Area Influence|Campaign / Battle Card Driven|Dice Rolling|Hand Management|Simultaneous Action Selection,,Ananda Gupta|Jason Matthews,Viktor Csete|Rodger B. MacGowan|Chechu Nieto|Guillaume Ries|Mark Simonitch,GMT Games|(Self-Published)|Asterion Press|Bard Centrum Gier|Devir|MINDOK|Udo Grebe Gamedesign|Wargames Club Publishing,"Twilight Struggle: ""Anni di Piombo"" Promo Card|Twilight Struggle: ""Pakt Bagdadzki"" and ""Stan Wojenny"" Promo Cards|Twilight Struggle: ""Referendum NATO"" Promo Card|Twilight Struggle: What If?",,,Twilight of Shogun
120677,boardgame,Terra Mystica,2012,2,5,150,60,150,12,14383,8.28798,8.14232,16519,132,1586,6277,2526,1423,3.8939,Civilization|Economic|Fantasy|Territory Building,Route/Network Building|Variable Player Powers,Terra Mystica,Jens Drögemüller|Helge Ostertag,Dennis Lohausen,"Feuerland Spiele|Bard Centrum Gier|Cranio Creations|Filosofia Éditions|HomoLudicus|MINDOK|Swan Panasia Co., Ltd.|テンデイズゲームズ (Ten Days Games)|White Goblin Games|Z-Man Games|Zvezda",Terra Mystica: 4 Town Tiles|Terra Mystica: Bonus Card Shipping Value|Terra Mystica: Erweiterungsbogen|Terra Mystica: Fire & Ice,,Terra Mystica: Big Box,
102794,boardgame,Caverna: The Cave Farmers,2013,1,7,210,30,210,12,9262,8.28994,8.06886,12230,99,1476,5600,1700,777,3.7761,Animals|Economic|Farming,Tile Placement|Worker Placement,Animals: Sheep|Harvest Series|Mining|Solitaire Games,Uwe Rosenberg,Klemens Franz,"Lookout Games|999 Games|Devir|Filosofia Éditions|Hobby Japan|HomoLudicus|Korea Boardgames co., Ltd.|Lacerta|Mayfair Games|MINDOK|uplay.it edizioni",Caverna: Christmas Chamber|Caverna: LARP and Cosplay Postcard|Caverna: Mini Expansion|Caverna: Water Features,,,Agricola
25613,boardgame,Through the Ages: A Story of Civilization,2006,2,4,240,240,240,12,13294,8.20407,8.05804,14343,362,1084,5075,3378,1642,4.159,Civilization|Economic,Action Point Allowance System|Auction/Bidding|Card Drafting|Hand Management,Tableau Building,Vlaada Chvátil,Richard Cortes|Paul Niemeyer,Czech Board Games|Czech Games Edition|DiceTree Games|Eagle-Gryphon Games|HomoLudicus|IELLO|MINDOK|Pegasus Spiele|Portal Games|Raven Distribution|REBEL.pl|Wargames Club Publishing,BGO Extended 2.0 expansion (fan expansion for Through the Ages)|Cywilizacja: Poprzez wieki – Polski dodatek 1|Cywilizacja: Poprzez wieki – Polski dodatek 2|Through the Ages: A Story of Civilization – Czech expansion|Through the Ages: Spanish Promo Card Set,,,Through the Ages: A New Story of Civilization
3076,boardgame,Puerto Rico,2002,2,5,150,90,150,12,39883,8.14261,8.04524,44362,795,861,5414,9173,5213,3.2943,City Building|Economic|Farming,Variable Phase Order,Alea Big Box|Colonial Theme|Country: Puerto Rico|Puerto Rico,Andreas Seyfarth,Andreas Seyfarth|Franz Vohwinkel,"alea|Ravensburger Spieleverlag GmbH|Albi|Devir|Filosofia Éditions|Gém Klub Kft.|Giochi Uniti|Grow Jogos e Brinquedos|Kaissa Chess & Games|Lacerta|Lautapelit.fi|MINDOK|Rio Grande Games|Stratelibri|Swan Panasia Co., Ltd.|Tilsit",Haiti (fan expansion for Puerto Rico)|Puerto Rico: Expansion I – New Buildings|Puerto Rico: Expansion II – The Nobles|Treasure Chest,,Puerto Rico (zawiera 14 dodatkowych budynkow)|Puerto Rico: Limited Anniversary Edition,San Juan
31260,boardgame,Agricola,2007,1,5,150,30,150,12,39714,8.11957,8.03847,47522,837,958,6402,9310,5065,3.616,Animals|Economic|Farming,Area Enclosure|Card Drafting|Hand Management|Worker Placement,Agricola|Animals: Cattle|Animals: Sheep|Harvest Series|Solitaire Games,Uwe Rosenberg,Klemens Franz,"Lookout Games|999 Games|Brain Games|Compaya.hu - Gamer Café Kft.|Devir|Filosofia Éditions|Hobby Japan|Hobby World|HomoLudicus|Korea Boardgames co., Ltd.|Lacerta|MINDOK|Smart Ltd|Stratelibri|Swan Panasia Co., Ltd.|Ystari Games|Z-Man Games",Agricola CZ-Deck|Agricola Ereigniskarten|Agricola L-Deck|Agricola X-Deck|Agricola Z-Deck|Agricola: Belgium Deck|Agricola: Bielefeld Deck|Agricola: Brakelhühner Promo Card|Agricola: De Lage Landen|Agricola: Farmers of the Moor|Agricola: France Deck|Agricola: Gamers' Deck|Agricola: Glon­na­cker|Agricola: NL-Deck|Agricola: Ö-Deck|Agricola: Pi-Deck|Agricola: The Goodies Expansion|Agricola: The Legen*dairy Forest-Deck|Agricola: Through the Seasons|Agricola: World Championship Deck – 2011|Improved Farming & Disasters (fan expansion for Agricola)|The MY Deck (fan expansion for Agricola),,,Caverna: The Cave Farmers
124742,boardgame,Android: Netrunner,2012,2,2,45,45,45,14,15281,8.1676,7.97822,24381,680,627,3244,3202,1260,3.3103,Bluffing|Card Game|Science Fiction,Action Point Allowance System|Hand Management|Secret Unit Deployment|Variable Player Powers,Android|Android: Netrunner LCG|Cyberpunk|Hackers|Living Card Game®,Richard Garfield|Lukas Litzsinger,Bruno Balixa|Ralph Beisner|Del Borovic|Gong Studios|Henning Ludvigsen|Ed Mattinian|Adam Schumpert|Mark Anthony Taduran,"Fantasy Flight Games|Arclight|Edge Entertainment|Galakta|Game Harbor|Giochi Uniti|Heidelberger Spieleverlag|Korea Boardgames co., Ltd.",Android: Netrunner – A Study in Static|Android: Netrunner – All That Remains|Android: Netrunner – Breaker Bay|Android: Netrunner – Business First|Android: Netrunner – Chrome City|Android: Netrunner – Creation and Control|Android: Netrunner – Cyber Exodus|Android: Netrunner – Data and Destiny|Android: Netrunner – Democracy and Dogma|Android: Netrunner – Double Time|Android: Netrunner – Fear and Loathing|Android: Netrunner – First Contact|Android: Netrunner – Future Proof|Android: Netrunner – Honor and Profit|Android: Netrunner – Humanity's Shadow|Android: Netrunner – Kala Ghoda|Android: Netrunner – Mala Tempora|Android: Netrunner – Old Hollywood|Android: Netrunner – Opening Moves|Android: Netrunner – Order and Chaos|Android: Netrunner – Salsette Island|Android: Netrunner – Second Thoughts|Android: Netrunner – The Source|Android: Netrunner – The Spaces Between|Android: Netrunner – The Underway|Android: Netrunner – The Universe of Tomorrow|Android: Netrunner – The Valley|Android: Netrunner – Trace Amount|Android: Netrunner – True Colors|Android: Netrunner – Up and Over|Android: Netrunner – Upstalk|Android: Netrunner – What Lies Ahead,,,Netrunner
96848,boardgame,Mage Knight Board Game,2011,1,4,150,150,150,14,12697,8.15901,7.96929,18769,367,1116,5427,2861,1409,4.1292,Adventure|Exploration|Fantasy|Fighting,Card Drafting|Co-operative Play|Deck / Pool Building|Dice Rolling|Grid Movement|Hand Management|Modular Board|Role Playing|Tile Placement|Variable Player Powers,Clix|Components: Miniatures|Solitaire Games,Vlaada Chvátil,J. Lonnee|Chris Raimo|Milan Vavroň,WizKids Games|Asmodee|Giochi Uniti|Intrafin Games|Lacerta|NECA|Pegasus Spiele|REXhry,Mage Knight Board Game: Krang Character Expansion|Mage Knight Board Game: Shades of Tezla Expansion|Mage Knight Board Game: The Lost Legion,,,Star Trek: Frontiers
84876,boardgame,The Castles of Burgundy,2011,2,4,90,30,90,12,15461,8.07879,7.95011,20558,215,929,3681,3244,1176,3.0442,Dice|Medieval|Territory Building,Dice Rolling|Set Collection|Tile Placement|Variable Player Powers,Alea Big Box|Country: France,Stefan Feld,Julien Delval|Harald Lieske,alea|Ravensburger Spieleverlag GmbH|Hobby World,Brettspiel Adventskalender 2015|The Castles of Burgundy: 1st Expansion – New Player Boards|The Castles of Burgundy: 2nd Expansion – New Hex Tiles|The Castles of Burgundy: 3rd Expansion – German Board Game Championship Board|The Castles of Burgundy: 4th Expansion – Monastery Boards|The Castles of Burgundy: 5th Expansion – Pleasure Garden|Stadt Land Spielt Limitierter Sonderdruck Tag des Gesellschaftsspiels,,,
72125,boardgame,Eclipse,2011,2,6,200,60,200,14,15709,8.07933,7.93244,17611,273,1108,5581,3188,1486,3.6359,Civilization|Fighting|Science Fiction|Space Exploration,Area Control / Area Influence|Dice Rolling|Grid Movement|Modular Board|Player Elimination|Tile Placement|Variable Player Powers,4X games|Eclipse,Touko Tahkokallio,Ossi Hiekkala|Sampo Sikiö,Lautapelit.fi|Asmodee|Asterion Press|REBEL.pl|Ystari Games,Eclipse: Black Hole|Eclipse: Elders of the Solstice|Eclipse: Minions of the Solstice|Eclipse: Nebula|Eclipse: Pulsar|Eclipse: Rise of the Ancients|Eclipse: Rise of the Ancients – The Tractor Beam|Eclipse: Rockets of Celebration|Eclipse: Shadow of the Rift|Eclipse: Ship Pack One|Eclipse: Supernova|Eclipse: The Galactic North,,,
